version	path	baseline_class	source_sha256	target_contract_id
20261012103500	db/migrations/platform_authz/V20261012103500__platform_authz_user_legal_entity_grants.sql	APPLY_IMMUTABLE_BASELINE	a91e78161d79090d3cbcb232f75cc9c4e14aae9cd96ae9f3e6f8de94e16586b7	IMMUTABLE_BYTES
20261012104000	db/migrations/platform_authz/V20261012104000__platform_authz_user_role_grants.sql	APPLY_IMMUTABLE_BASELINE	eceba5dd3dffae31ce7c8ba0cfb120cb2c10bbe4ecb506a7236cb2fc72a4898a	IMMUTABLE_BYTES
20261012104500	db/migrations/platform_authz/V20261012104500__platform_authz_user_org_assignments.sql	APPLY_IMMUTABLE_BASELINE	6ec8b984b53b759d7cdc25020da6a0fa1589e4ff7651755e53c49a136182f086	IMMUTABLE_BYTES
20261012105000	db/migrations/platform_authz/V20261012105000__platform_authz_user_scope_grants.sql	APPLY_IMMUTABLE_BASELINE	e6560ec4d6d2115b1738841ad66a623f6b619c2eabc1bb215a913649b6d4c37d	IMMUTABLE_BYTES
20261012105500	db/migrations/platform_authz/V20261012105500__platform_authz_sod_rules.sql	APPLY_IMMUTABLE_BASELINE	41f99fa9324ded46a460abddc66b06d7c8b257c7eedc71f7ce5b6cf23ca33af7	IMMUTABLE_BYTES
20261012110000	db/migrations/platform_authz/V20261012110000__platform_authz_approval_chains.sql	APPLY_IMMUTABLE_BASELINE	107fe1d944e9dee2febdc1a356f76150cc73b44da36a40ee20f796d00903929a	IMMUTABLE_BYTES
20261012110500	db/migrations/platform_authz/V20261012110500__platform_authz_approval_chain_nodes.sql	APPLY_IMMUTABLE_BASELINE	99fa8dfd0193d5cdf42b2d9276383a8959f7c1191e8156bb52b57ee15c7e002b	IMMUTABLE_BYTES
20261012111000	db/migrations/platform_authz/V20261012111000__platform_authz_high_risk_requests.sql	APPLY_IMMUTABLE_BASELINE	5cbd3c139e5041873a0c7509b3b5419a925f076c9006f638ca4bd85a82ebe1b8	IMMUTABLE_BYTES
20261012111500	db/migrations/platform_authz/V20261012111500__platform_authz_authz_config_versions.sql	APPLY_IMMUTABLE_BASELINE	2dec81e43ed890385eadbe451220b9064c942201a9dff9ada6a07b29f3040430	IMMUTABLE_BYTES
20261012112000	db/migrations/platform_authz/V20261012112000__platform_authz_backfill_permission_item_seed.sql	APPLY_IMMUTABLE_BASELINE	d676125bab2d2ed8bbbba704350c4256da118623bdbfe9ac625b5f3ce239434d	IMMUTABLE_BYTES
20261012112500	db/migrations/platform_authz/V20261012112500__platform_authz_backfill_admin_duty_roles.sql	APPLY_IMMUTABLE_BASELINE	6d2800f6a4593997abaafe3c146aab4343ca8b2d3f5ac449faf1504772bb59d8	IMMUTABLE_BYTES
20261012113000	db/migrations/platform_authz/V20261012113000__platform_authz_backfill_default_sod_rules.sql	APPLY_IMMUTABLE_BASELINE	43468a4fc6fc4d0dbe3283a2cd7dcd0c4a466c9679e24279a4c9fd05147c8179	IMMUTABLE_BYTES
20261012113500	db/migrations/platform_core/V20261012113500__platform_core_backfill_unpoliced_table_registry.sql	APPLY_IMMUTABLE_BASELINE	f3e5d9a546ab07772c387977da549c449fc393609ef4c2a14dfdcfc2bd271c20	IMMUTABLE_BYTES
20261024090000	db/migrations/platform_ops/V20261024090000__platform_ops_create_ai_model_packages.sql	ABSENT_DEFERRED_WITH_INTERFACE	-	LOCAL_AI_DEFERRED
20261024090100	db/migrations/platform_meta/V20261024090100__platform_meta_create_mcp_connectors.sql	ABSENT_SUPERSEDED_BY_F57	-	PROVIDER_MCP_F57
20261024090200	db/migrations/platform_meta/V20261024090200__platform_meta_create_mcp_manifest_versions.sql	ABSENT_SUPERSEDED_BY_F57	-	PROVIDER_MCP_F57
20261024090300	db/migrations/platform_authz/V20261024090300__platform_authz_create_mcp_human_grants.sql	ABSENT_SUPERSEDED_BY_F57	-	DYNAMIC_GRANT_F57
20261024090400	db/migrations/platform_meta/V20261024090400__platform_meta_add_server_admin_capability_rows.sql	ABSENT_SUPERSEDED_BY_F57	-	CONTROL_CENTER_F57
20261024090500	db/migrations/platform_core/V20261024090500__platform_core_add_server_admin_client_kind.sql	ABSENT_SUPERSEDED_BY_F57	-	CONTROL_CENTER_F57
20261024090600	db/migrations/platform_audit/V20261024090600__platform_audit_add_server_admin_and_mcp_clients.sql	ABSENT_SUPERSEDED_BY_F57	-	CONTROL_MCP_ORIGIN_F57
20261024090700	db/migrations/platform_ops/V20261024090700__platform_ops_add_deployment_carrier.sql	ABSENT_SUPERSEDED_BY_F57	-	SIGNED_TOPOLOGY_F57
20261024090800	db/migrations/platform_core/V20261024090800__platform_core_backfill_f55_unpoliced_table_registry.sql	ABSENT_DEFERRED_WITH_INTERFACE	-	LOCAL_AI_DEFERRED
